game_id,retrosheet_id,pitch_count,strike_count,ball_count
ANA199704020,eshev001,15,12,3
ANA199704020,gordt001,102,60,42
ANA199704020,harrp001,5,5,0
ANA199704020,henrb001,29,15,14
ANA199704020,jamem001,26,14,12
ANA199704020,langm001,92,49,43
ANA199704020,mahop001,8,6,2
ANA199704020,mcelc001,21,14,7
ANA199704020,perct001,40,21,19
ANA199704020,sloch001,22,10,12
ANA199704030,dickj001,102,69,33
ANA199704030,hammc001,10,4,6
ANA199704030,trlir001,10,5,5
ANA199704030,waket001,95,63,32
ANA199704040,assep001,0,0,0
ANA199704040,colob001,0,0,0
ANA199704040,harrp001,0,0,0
ANA199704040,holtm001,0,0,0
ANA199704040,jamem001,0,0,0
ANA199704040,lopea002,0,0,0
ANA199704040,perct001,0,0,0
ANA199704040,plune001,0,0,0
ANA199704040,shuep001,0,0,0
ANA199704040,sprid001,0,0,0
ANA199704040,watsa001,0,0,0
ANA199704050,hases001,86,45,41
ANA199704050,jackm001,11,7,4
ANA199704050,jamem001,18,11,7
ANA199704050,klins002,20,12,8
ANA199704050,mcelc001,55,35,20
ANA199704050,ogeac001,98,56,42
ANA199704050,shuep001,33,18,15
ANA199704060,assep001,10,7,3
ANA199704060,gubim001,75,41,34
ANA199704060,harrp001,58,26,32
ANA199704060,holtm001,18,9,9
ANA199704060,jackm001,5,4,1
ANA199704060,klins002,37,23,14
ANA199704060,mcdoj001,105,63,42
ANA199704060,perct001,35,23,12
ANA199704070,boehb001,5,3,2
ANA199704070,holtm001,14,10,4
ANA199704070,jamem001,22,10,12
ANA199704070,langm001,102,60,42
ANA199704070,lloyg001,7,3,4
ANA199704070,petta001,101,69,32
ANA199704070,rivem002,16,12,4
ANA199704070,sprid001,22,13,9
ANA199704070,stanm003,7,5,2
ANA199704080,boehb001,22,15,7
ANA199704080,dickj001,87,54,33
ANA199704080,harrp001,26,16,10
ANA199704080,hases001,32,17,15
ANA199704080,jamem001,28,20,8
ANA199704080,mcelc001,31,24,7
ANA199704080,nelsj001,34,16,18
ANA199704080,rivem002,45,33,12
ANA199704080,rogek001,99,61,38
ANA199704080,stanm003,12,8,4
ANA199704080,weatd001,6,3,3
ANA199704090,holtm001,15,9,6
ANA199704090,sprid001,91,53,38
ANA199704090,watsa001,54,34,20
ANA199704090,welld001,110,75,35
ANA199704210,delur001,0,0,0
ANA199704210,finlc001,0,0,0
ANA199704210,harrp001,0,0,0
ANA199704210,holtm001,0,0,0
ANA199704210,jamem001,0,0,0
ANA199704210,mcelc001,0,0,0
ANA199704210,plesd001,0,0,0
ANA199704210,spolp001,0,0,0
ANA199704210,timlm001,0,0,0
ANA199704210,willw001,0,0,0
ANA199704220,hanse001,112,63,49
ANA199704220,harrp001,9,6,3
ANA199704220,hases001,17,9,8
ANA199704220,holtm001,3,1,2
ANA199704220,jamem001,23,12,11
ANA199704220,plesd001,4,4,0
ANA199704220,quanp001,8,6,2
ANA199704220,watsa001,99,65,34
ANA199704230,delur001,49,28,21
ANA199704230,flenh001,6,3,3
ANA199704230,hentp001,116,80,36
ANA199704230,langm001,113,69,44
ANA199704230,quanp001,7,5,2
ANA199704230,spolp001,21,15,6
ANA199704250,cummj001,18,14,4
ANA199704250,dickj001,101,56,45
ANA199704250,harrp001,29,19,10
ANA199704250,liraf001,77,49,28
ANA199704250,mcelc001,14,9,5
ANA199704250,miced001,30,18,12
ANA199704260,delur001,18,14,4
ANA199704260,finlc001,110,67,43
ANA199704260,moehb001,101,65,36
ANA199704270,bautj001,42,28,14
ANA199704270,blaiw001,65,35,30
ANA199704270,cummj001,9,8,1
ANA199704270,harrp001,26,13,13
ANA199704270,hases001,17,9,8
ANA199704270,holtm001,4,3,1
ANA199704270,jamem001,9,7,2
ANA199704270,jonet003,17,7,10
ANA199704270,myerm001,12,8,4
ANA199704270,watsa001,83,52,31
ANA199705120,castt001,18,12,6
ANA199705120,darwd001,102,63,39
ANA199705120,delur001,35,17,18
ANA199705120,jamem001,8,6,2
ANA199705120,levia001,24,11,13
ANA199705120,mcelc001,19,13,6
ANA199705120,simab001,36,26,10
ANA199705120,thoml001,9,4,5
ANA199705120,watsa001,105,58,47
ANA199705130,baldj002,114,66,48
ANA199705130,harrp001,26,15,11
ANA199705130,holtm001,18,8,10
ANA199705130,jamem001,25,16,9
ANA199705130,karcm001,7,3,4
ANA199705130,langm001,93,56,37
ANA199705130,may-d002,5,3,2
ANA199705130,thoml001,13,6,7
ANA199705140,bosks001,26,17,9
ANA199705140,hases001,52,29,23
ANA199705140,holtm001,9,5,4
ANA199705140,johnm002,66,38,28
ANA199705140,rhoda001,29,17,12
ANA199705140,sprid001,76,50,26
ANA199705140,willb001,7,3,4
ANA199705150,delur001,0,0,0
ANA199705150,dickj001,0,0,0
ANA199705150,holtm001,0,0,0
ANA199705150,jamem001,0,0,0
ANA199705150,kamis001,0,0,0
ANA199705150,mcelc001,0,0,0
ANA199705150,orosj001,0,0,0
ANA199705160,finlc001,126,72,54
ANA199705160,joned001,4,3,1
ANA199705160,mcdob001,128,74,54
ANA199705170,adamj001,81,40,41
ANA199705170,fettm001,27,17,10
ANA199705170,harrp001,21,4,17
ANA199705170,hases001,32,19,13
ANA199705170,holtm001,4,4,0
ANA199705170,perct001,17,12,5
ANA199705170,villr001,10,5,5
ANA199705170,watsa001,70,46,24
ANA199705170,wickb001,20,11,9
ANA199705180,delur001,12,8,4
ANA199705180,holtm001,5,4,1
ANA199705180,jamem001,6,5,1
ANA199705180,joned001,9,6,3
ANA199705180,mercj001,97,61,36
ANA199705180,sprid001,108,64,44
ANA199705190,harrp001,26,21,5
ANA199705190,hases001,16,11,5
